,YEAR,MONTH,Price / kg,Season,Average Temperature (°C),Rainfall (mm),Relative Humidity (%),Pressure (mb),Rice Production (mt),Palay Production (mt),Stockpile (mt),Area (ha),Yield ( / ha in mt),Fertilizer Complete (14-14-14),Inflation Rate (%)
345,2018,10.0,60.32,1,28.0,433.87,80.0,1010,18193.28,18193.28,1589.89,4975.0,3.66,1140.0,6.9
346,2018,11.0,58.12,1,28.0,409.94,78.0,1010,18193.28,18193.28,3000.45,4975.0,3.66,1140.0,6.1
347,2018,12.0,59.22,0,28.0,159.02,79.0,1009,18193.28,18193.28,2718.48,4975.0,3.66,1160.0,5.2
348,2019,1.0,59.22,0,28.0,138.69,75.0,1011,10796.25,10796.25,2550.7,2886.5,3.74,1160.0,4.4
349,2019,2.0,58.12,0,28.0,25.33,72.0,1013,10796.25,10796.25,2141.23,2886.5,3.74,1160.0,3.8
350,2019,3.0,58.12,0,28.0,123.99,75.0,1011,10796.25,10796.25,2221.42,2886.5,3.74,1160.0,3.4
351,2019,4.0,58.25,0,28.0,277.33,80.0,1010,10796.25,10796.25,2629.03,2886.5,3.74,1160.0,3.2
352,2019,5.0,58.25,0,29.0,217.01,79.0,1010,10796.25,10796.25,2947.42,2886.5,3.74,1160.0,3.2
353,2019,6.0,57.98,1,29.0,613.77,80.0,1010,10796.25,10796.25,2598.34,2886.5,3.74,1160.0,2.7
354,2019,7.0,57.57,1,28.0,366.3,82.0,1010,14833.02,14833.02,2625.25,3752.64,3.95,1160.0,2.2
355,2019,8.0,57.43,1,29.0,121.3,78.0,1010,14833.02,14833.02,2133.84,3752.64,3.95,1160.0,1.4
356,2019,9.0,56.88,1,28.0,147.1,80.0,1011,14833.02,14833.02,1842.37,3752.64,3.95,1160.0,0.5
357,2019,10.0,55.85,1,28.0,336.58,81.0,1010,14833.02,14833.02,2279.73,3752.64,3.95,1160.0,0.6
358,2019,11.0,55.3,1,28.0,143.63,78.0,1009,14833.02,14833.02,2962.46,3752.64,3.95,1160.0,1.2
359,2019,12.0,53.31,0,28.0,102.16,77.0,1010,14833.02,14833.02,3098.01,3752.64,3.95,1160.0,2.4
360,2020,1.0,52.63,0,28.0,69.4,77.0,1011,12238.28,12238.28,2675.04,2750.5,4.45,1114.92,3.0
361,2020,2.0,52.08,0,28.0,40.0,74.0,1012,12238.28,12238.28,2375.5,2750.5,4.45,1105.0,2.5
362,2020,3.0,51.39,0,28.0,198.23,77.0,1011,12238.28,12238.28,2178.64,2750.5,4.45,1117.0,2.2
363,2020,4.0,53.04,0,29.0,80.08,78.0,1011,12238.28,12238.28,2367.87,2750.5,4.45,1117.5,1.8
364,2020,5.0,54.14,0,29.0,182.58,81.0,1010,12238.28,12238.28,2779.03,2750.5,4.45,1117.0,1.6
365,2020,6.0,53.87,1,28.0,499.63,84.0,1010,12238.28,12238.28,2395.94,2750.5,4.45,1122.36,2.3
366,2020,7.0,53.6,1,28.0,328.8,82.0,1009,15779.9,15779.9,2104.76,3798.49,4.15,1143.27,2.4
367,2020,8.0,51.95,1,28.0,168.28,81.0,1009,15779.9,15779.9,1786.25,3798.49,4.15,1122.77,2.2
368,2020,9.0,51.68,1,28.0,512.93,81.0,1010,15779.9,15779.9,1784.82,3798.49,4.15,1114.3,2.2
369,2020,10.0,51.13,1,28.0,566.64,84.0,1009,15779.9,15779.9,2641.08,3798.49,4.15,1101.55,2.3
370,2020,11.0,49.07,1,28.0,179.2,83.0,1009,15779.9,15779.9,3158.54,3798.49,4.15,1093.09,3.0
371,2020,12.0,49.89,0,28.0,309.48,82.0,1008,15779.9,15779.9,2766.4,3798.49,4.15,1102.0,3.3
